nombre;central;tecnologia_etiqueta;nombre_agente;tecnologia;tecnologia_maquinas;potencia_instalada_mw;provincia;departamento;aglomeracion;sistema;pah;id_renovar;resolucion_renovables;fuente;geojson;Logitud;Latitud
LOS QUIROGA;LQUIHI;Hidroeléctrica (Menor a 50 Mw);HIDROELECTRICA RIO HONDO SA;HI<50;HIDRAULICA <=50;2;SANTIAGO DEL ESTERO;Banda;;Interconectado MEM;Si;SPT-PAH-22;;cammesa;"{""type"":""Point"",""coordinates"":[-64.3618123286165,-27.6509626836279]}";-643.618.123.286.165;-276.509.626.836.279
AÑATUYA;ANAT;Térmica;CT AÑATUYA II - SULLAIR - CT AÑATUYA - SULLAIR;DI;MOTOR DIESEL;30.7;SANTIAGO DEL ESTERO;General Taboada;AÑATUYA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.8553327591813,-28.4456196884124]}";-628.553.327.591.813;-284.456.196.884.124
BANDERA DISTRIB;BAND;Térmica;CT BANDERA SgoEstero - ENARSA;DI;MOTOR DIESEL;32.5;SANTIAGO DEL ESTERO;Belgrano;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-62.2801321227062,-28.8749679218226]}";-622.801.321.227.062;-288.749.679.218.226
LA RIOJA;LRIO;Térmica;GENERACION RIOJANA SA;TG;TURBO GAS;88;LA RIOJA;Capital;LA RIOJA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-66.8339708758593,-29.3826955443433]}";-668.339.708.758.593;-293.826.955.443.433
LIB. SAN MARTIN;LIBE;Térmica;CT LIBERTADOR GSM - SULLAIR;DI;MOTOR DIESEL;15.26;JUJUY;Ledesma;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.7842728205002,-23.8224617302045]}";-647.842.728.205.002;-238.224.617.302.045
L N ALEM ENARSA;ALEM;Térmica;CT ALEM - AGGREKO;DI;MOTOR DIESEL;15;MISIONES;Leandro N. Alem;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-55.2866667069673,-27.6090467539788]}";-552.866.667.069.673;-276.090.467.539.788
A.D.VALL.ENARSA;ARIS;Térmica;CT ARISTOBU.DEL VALLE-SOENERGY;DI;MOTOR DIESEL;15;MISIONES;Cainguás;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-54.8625900150621,-27.0922812972986]}";-548.625.900.150.621;-270.922.812.972.986
BARRANQ. DISTRI;BARD;Térmica;CT BARRANQUERAS Chaco;DI;MOTOR DIESEL;21.7;CHACO;San Fernando;GRAN RESISTENCIA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.9290956049045,-27.4910044952613]}";-589.290.956.049.045;-274.910.044.952.613
CASTELLI;CAST;Térmica;CT CASTELLI - AGGREKO;DI;MOTOR DIESEL;15;CHACO;General Güemes;JUAN JOSE CASTELLI;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.6203107937942,-25.9564032397642]}";-606.203.107.937.942;-259.564.032.397.642
CORRIENTES;CORR;Térmica;CT CORRIENTES - AGGREKO;DI;MOTOR DIESEL;20;CORRIENTES;Capital;CORRIENTES;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.8038820634838,-27.4713001317354]}";-588.038.820.634.838;-274.713.001.317.354
CHARATA ENARSA;CHAR;Térmica;CT CHARATA - SULLAIR;DI;MOTOR DIESEL;19.8;CHACO;Chacabuco;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-61.1943982714975,-27.2372619580196]}";-611.943.982.714.975;-272.372.619.580.196
FORMOSA DELIVER;FORD;Térmica;CT FORMOSA - APR ENERGY;DI;MOTOR DIESEL;30;FORMOSA;Formosa;FORMOSA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.2099107453431,-26.1756593440015]}";-582.099.107.453.431;-261.756.593.440.015
CT GOYA ENARSA;GOYD;Térmica;CT GOYA - SECCO;DI;MOTOR DIESEL;13;CORRIENTES;Goya;GOYA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-59.2733093628777,-29.1584813288758]}";-592.733.093.628.777;-291.584.813.288.758
JUAREZ;JUAR;Térmica;CT ING JUAREZ - SECCO;DI;MOTOR DIESEL;4;FORMOSA;Bermejo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-61.8315639965146,-23.9089227053256]}";-618.315.639.965.146;-239.089.227.053.256
CT ITATI;ITAT;Térmica;CT ITATI - TURBODISEL;DI;MOTOR DIESEL;7.2;CORRIENTES;Itatí;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.238676053807,-27.3190661401993]}";-58.238.676.053.807;-273.190.661.401.993
PTA CELULOSA;;Térmica;;TV;;;MISIONES;Iguazú;;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-54.635397391218,-25.9884369692721]}";-54.635.397.391.218;-259.884.369.692.721
LAG. BLANCA;LBLA;Térmica;CT LAGUNA BLANCA - SECCO;DI;MOTOR DIESEL;7;FORMOSA;Pilcomayo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.2596545638245,-25.1289542667997]}";-582.596.545.638.245;-251.289.542.667.997
L.PALMAS ENARSA;LPAL;Térmica;CT LAS PALMAS -TURBODISEL;DI;MOTOR DIESEL;7.2;CHACO;Bermejo;LA LEONESA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.6995454553439,-27.0286943911229]}";-586.995.454.553.439;-270.286.943.911.229
PPEL MISIONERO;;Térmica;;TG;;;MISIONES;Libertador General San Martín;;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-55.1224032464816,-26.9360958801401]}";-551.224.032.464.816;-269.360.958.801.401
PASO DE LA PATR;PPAT;Térmica;CT PASO LA PATRIA-TURBODISEL;DI;MOTOR DIESEL;7.2;CORRIENTES;San Cosme;PASO DE PATRIA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.5663029300779,-27.3234729204348]}";-585.663.029.300.779;-273.234.729.204.348
PIRANE;PIRA;Térmica;CT PIRANE - SULLAIR;DI;MOTOR DIESEL;16.25;FORMOSA;Pirané;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-59.075506916154,-25.6787307206911]}";-59.075.506.916.154;-256.787.307.206.911
A.P. PTO PIRAY;PUPI;Biomasa;ALTO PARANA-PTO.PIRAY;BIOM;BIOMASA;;MISIONES;Montecarlo;;Interconectado MEM;;SPT-BM-01;;cammesa;"{""type"":""Point"",""coordinates"":[-54.7204032818055,-26.4755262273684]}";-547.204.032.818.055;-264.755.262.273.684
SAENZ PEÑA;SPEN;Térmica;CT SAENZ PEÑA - APR ENERGY;DI;MOTOR DIESEL;20;CHACO;Comandante Fernández;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.4117283487329,-26.8156650598248]}";-604.117.283.487.329;-268.156.650.598.248
SAENZ PEÑA II;SPE2;Térmica;CT SAENZ PEÑA II- AGGREKO;DI;MOTOR DIESEL;15;CHACO;Comandante Fernández;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.4125458785529,-26.8150747390515]}";-604.125.458.785.529;-268.150.747.390.515
S.MART. CHACO;SCHA;Térmica;CT SAN MARTIN Chaco;DI;MOTOR DIESEL;15;CHACO;Libertador General San Martín;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-59.3200683118524,-26.5583660715767]}";-593.200.683.118.524;-265.583.660.715.767
STA ROSA CORR;SROS;Térmica;CT SANTA ROSA -TURBODISEL;DI;MOTOR DIESEL;7.2;CORRIENTES;Concepción;SANTA ROSA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-58.1227875030454,-28.2626293767159]}";-581.227.875.030.454;-282.626.293.767.159
URUGUA-Ã;;Hidroeléctrica (Menor a 50 Mw);;HI;;;MISIONES;Iguazú;;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-54.5686426055334,-25.8766199163741]}";-545.686.426.055.334;-258.766.199.163.741
V.ANGELA ENARSA;VANG;Térmica;CT VILLA ANGELA - AGGREKO;DI;MOTOR DIESEL;15;CHACO;Mayor Luis J. Fontana;VILLA ANGELA;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-60.7098754608175,-27.580512225107]}";-607.098.754.608.175;-27.580.512.225.107
YACYRETA;YACYHI;Hidroeléctrica;E.B. YACYRETA;HI>50;TURB HIDRAULICA;2745;;;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-56.7392780146516,-27.4827573401025]}";-567.392.780.146.516;-274.827.573.401.025
CH LS CORONELES;COROHI;Hidroeléctrica (Menor a 50 Mw);GENERADORA ELECTRICA MENDOZ.SA;HI<50;HIDRAULICA <=50;6.64;MENDOZA;San Rafael;;Interconectado MEM;Si;SPT-PAH-11;;cammesa;"{""type"":""Point"",""coordinates"":[-68.560342413796,-34.5919905427933]}";-68.560.342.413.796;-345.919.905.427.933
AGUA DEL TORO;ADTOHI;Hidroeléctrica;H. DIAMANTE SA;HI>50;TURB HIDRAULICA;150;MENDOZA;San Rafael;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.9894656132823,-34.5793889212683]}";-689.894.656.132.823;-345.793.889.212.683
C.H.CACHEUTA;CACHHI;Hidroeléctrica;CONSORCIO POTRERILLOS;HI>50;TURB HIDRAULICA;120;MENDOZA;Las Heras;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.1123640805996,-33.027421753035]}";-691.123.640.805.996;-33.027.421.753.035
CARACOLES;CCOLHI;Hidroeléctrica;C.H.LOS CARACOLES - EPSE;HI>50;TURB HIDRAULICA;121.4;SAN JUAN;Zonda;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.968049961021,-31.5171227451936]}";-68.968.049.961.021;-315.171.227.451.936
CH CARRIZAL;CARRHI;Hidroeléctrica (Menor a 50 Mw);CONSORCIO POTRERILLOS;HI<50;HIDRAULICA <=50;17;MENDOZA;Rivadavia;;Interconectado MEM;Si;SPT-PAH-10;;cammesa;"{""type"":""Point"",""coordinates"":[-68.7199436163259,-33.2992822610691]}";-687.199.436.163.259;-332.992.822.610.691
C.HOND 1 FOTOVO;HON1FV;Fotovoltaica;C.FOTOV. CAÑADA HONDA I-ENARSA;SOL;FOTOVOLTAICA;2;SAN JUAN;Sarmiento;;Interconectado MEM;;GEN-SFV-02;;cammesa;"{""type"":""Point"",""coordinates"":[-68.5398231422267,-31.9863643522805]}";-685.398.231.422.267;-319.863.643.522.805
C.H. A.CONDARCO;CONDHI;Hidroeléctrica;CONSORCIO POTRERILLOS;HI>50;TURB HIDRAULICA;54.4;MENDOZA;Las Heras;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.0509354230872,-33.0444306973273]}";-690.509.354.230.872;-330.444.306.973.273
CRUZ DE PIEDRA;CDPI;Térmica;C. TERMICAS MENDOZA SA;TG;TURBO GAS;14;MENDOZA;Maipú;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.795761530881,-33.0345755345373]}";-68.795.761.530.881;-330.345.755.345.373
CTA. DEL VIENTO;CVIEHI;Hidroeléctrica (Menor a 50 Mw);HIDR.CUESTA DEL VIENTO - EPSE;HI<50;HIDRAULICA <=50;10.55;SAN JUAN;Iglesia;;Interconectado MEM;Si;SPT-PAH-18;;cammesa;"{""type"":""Point"",""coordinates"":[-69.062586516008,-30.1959433401456]}";-69.062.586.516.008;-301.959.433.401.456
EL TIGRE;ETIGHI;Hidroeléctrica (Menor a 50 Mw);H. DIAMANTE SA;HI<50;HIDRAULICA <=50;14;MENDOZA;San Rafael;;Interconectado MEM;Si;SPT-PAH-12;;cammesa;"{""type"":""Point"",""coordinates"":[-68.6129298246166,-34.6079441332114]}";-686.129.298.246.166;-346.079.441.332.114
LOS REYUNOS;LREYHB;Hidroeléctrica;H. DIAMANTE SA;HI>50;TURB + BOMBA HI;224;MENDOZA;San Rafael;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.6384001292792,-34.602963582231]}";-686.384.001.292.792;-34.602.963.582.231
LUJAN DE CUYO;LDCU;Térmica;C. TERMICAS MENDOZA PLUS - C. TERMICAS MENDOZA SA - LUJAN DE CUYO COGENERAC.PUERTO;CC,TG,TV;TURBO GAS - TURBO VAPOR;573.556;MENDOZA;Luján de Cuyo;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.9808278777804,-33.0556831430012]}";-689.808.278.777.804;-330.556.831.430.012
NIHUIL 1;NIH1HI;Hidroeléctrica;HIDROELECTRICA LOS NIHUILES SA;HI>50;TURB HIDRAULICA;72;MENDOZA;San Rafael;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.6308328986911,-34.995113985933]}";-686.308.328.986.911;-34.995.113.985.933
NIHUIL 2;NIH2HI;Hidroeléctrica;HIDROELECTRICA LOS NIHUILES SA;HI>50;TURB HIDRAULICA;110;MENDOZA;San Rafael;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.6234147224122,-34.9122912797947]}";-686.234.147.224.122;-349.122.912.797.947
NIHUIL 3;NIH3HI;Hidroeléctrica;HIDROELECTRICA LOS NIHUILES SA;HI>50;TURB HIDRAULICA;42;MENDOZA;San Rafael;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.5753196996058,-34.8823799536892]}";-685.753.196.996.058;-348.823.799.536.892
NIHUIL 4;NIH4HI;Hidroeléctrica (Menor a 50 Mw);HIDR NIHUIL IV (EMSE SE);HI<50;HIDRAULICA <=50;18;MENDOZA;San Rafael;;Interconectado MEM;Si;137-PAH-01;;cammesa;"{""type"":""Point"",""coordinates"":[-68.5144036656597,-34.8332879230443]}";-685.144.036.656.597;-348.332.879.230.443
PUNTA NEGRA;PNEGHI;Hidroeléctrica;C.H.PUNTA NEGRA - EPSE;HI>50;TURB HIDRAULICA;63.28;SAN JUAN;Ullum;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.814939615402,-31.5166071318568]}";-68.814.939.615.402;-315.166.071.318.568
QUEBRADA ULLUM;QULLHI;Hidroeléctrica (Menor a 50 Mw);QUEBRADA ULLUM - EPSE;HI<50;HIDRAULICA <=50;45;SAN JUAN;Ullum;;Interconectado MEM;Si;SPT-PAH-29;;cammesa;"{""type"":""Point"",""coordinates"":[-68.6475159174745,-31.4761715668351]}";-686.475.159.174.745;-314.761.715.668.351
CH SAN MARTIN;SMARHI;Hidroeléctrica (Menor a 50 Mw);GENERADORA ELECTRICA MENDOZ.SA;HI<50;HIDRAULICA <=50;6.48;MENDOZA;Luján de Cuyo;GRAN MENDOZA;Interconectado MEM;Si;SPT-PAH-13;;cammesa;"{""type"":""Point"",""coordinates"":[-68.9218160120265,-33.0450137852746]}";-689.218.160.120.265;-330.450.137.852.746
SARMIENTO SJ;SARC;Térmica;HIDROTERMICA SAN JUAN;TG;TURBO GAS;30;SAN JUAN;Capital;GRAN SAN JUAN;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.5399248457632,-31.512829159704]}";-685.399.248.457.632;-31.512.829.159.704
ULLUM;ULLUHI;Hidroeléctrica (Menor a 50 Mw);HIDROTERMICA SAN JUAN;HI<50;HIDRAULICA <=50;42;SAN JUAN;Ullum;;Interconectado MEM;Si;SPT-PAH-30;;cammesa;"{""type"":""Point"",""coordinates"":[-68.7560938242533,-31.455675704811]}";-687.560.938.242.533;-31.455.675.704.811
ARAUCO EOLICO 2;ARA2EO;Eólica;PARQUE EOLICO ARAUCO II SAPEM;EOL;EOLICA;25.2;LA RIOJA;Arauco;;Interconectado MEM;;108-EOL-05;;cammesa;"{""type"":""Point"",""coordinates"":[-66.7544246630076,-28.6929796580617]}";-667.544.246.630.076;-286.929.796.580.617
S.JUAN I FOTOVO;SJUAFV;Fotovoltaica;PTA FOTOVOLTAICA S.JUAN I-EPSE;SOL;FOTOVOLTAICA;1.2;SAN JUAN;Ullum;;Interconectado MEM;;108-SFV-01;;cammesa;"{""type"":""Point"",""coordinates"":[-68.6751573268069,-31.3888039108097]}";-686.751.573.268.069;-313.888.039.108.097
C.HOND 2 FOTOVO;HON2FV;Fotovoltaica;C.FOTOV. CAÑADA HONDA 2-ENARSA;SOL;FOTOVOLTAICA;3;SAN JUAN;Sarmiento;;Interconectado MEM;;GEN-SFV-03;;cammesa;"{""type"":""Point"",""coordinates"":[-68.5399812499934,-31.9874963940866]}";-685.399.812.499.934;-319.874.963.940.866
CHIMBE 1 FOTOVO;CHI1FV;Fotovoltaica;C.FOTOV. CHIMBERAS 1;SOL;FOTOVOLTAICA;2;SAN JUAN;Sarmiento;;Interconectado MEM;;GEN-SFV-01;;cammesa;"{""type"":""Point"",""coordinates"":[-68.5398727329395,-31.989245141752]}";-685.398.727.329.395;-31.989.245.141.752
ALICURA;ALICHI;Hidroeléctrica;AES ALICURA.;HI>50;TURB HIDRAULICA;1050;NEUQUEN;Lácar;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-70.7474263062353,-40.5841964926609]}";-707.474.263.062.353;-405.841.964.926.609
BARILOCHE ENARS;BARI;Térmica;CT BARILOCHE;DI;MOTOR DIESEL;20;RIO NEGRO;Bariloche;GRAN SAN CARLOS DE BARILOCHE;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-71.2525288540627,-41.1583351986071]}";-712.525.288.540.627;-411.583.351.986.071
FILO MORADO;FILO;Térmica;C.T. FILO MORADO;TG;TURBO GAS;62.9;NEUQUEN;Pehuenches;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.6525010991813,-37.2747144249373]}";-696.525.010.991.813;-372.747.144.249.373
AG. LOMITAS;ALOM;Térmica;CENTRAL TÉRMICA LOMITA AUTOG.;DI;MOTOR DIESEL;;NEUQUEN;Pehuenches;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.2286956892783,-37.333312550528]}";-692.286.956.892.783;-37.333.312.550.528
EL TRAPIAL;TRAP;Térmica;CHEVRON ARGENTINA - HUANTRAICO;TG;TURBO GAS;;NEUQUEN;Pehuenches;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.2805233432634,-37.3678488216065]}";-692.805.233.432.634;-373.678.488.216.065
USINA CAMPAMENTO;;Térmica;;TG;;;NEUQUEN;Pehuenches;;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.2817501309613,-37.3687648371747]}";-692.817.501.309.613;-373.687.648.371.747
ENTRE LOMAS;ELOM;Térmica;PETR.ACONCAGUA.YAC.ENTRE LOMAS;DI;MOTOR DIESEL;;RIO NEGRO;General Roca;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.1195935379891,-38.1843474640514]}";-681.195.935.379.891;-381.843.474.640.514
TERMOROCA;ROCA;Térmica;CT ROCA SA;CC;TURBO GAS - TURBO VAPOR;193.13;RIO NEGRO;General Roca;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.6008598810522,-38.9459352080157]}";-676.008.598.810.522;-389.459.352.080.157
CIPOLLETTI;CIPOHI;Hidroeléctrica (Menor a 50 Mw);CENTRAL HIDRAULICA CIPOLLETTI;HI<50;HIDRAULICA <=50;5.4;RIO NEGRO;General Roca;;Interconectado MEM;Si;SPT-PAH-15;;cammesa;"{""type"":""Point"",""coordinates"":[-67.9419236685025,-38.9131497255408]}";-679.419.236.685.025;-389.131.497.255.408
CIPOLLETI (ENA;CIPO;Térmica;CT CIPOLLETI - AGGREKO;DI;MOTOR DIESEL;5;RIO NEGRO;General Roca;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.9417414845449,-38.9133302672693]}";-679.417.414.845.449;-389.133.302.672.693
JULIAN ROMERO;ROMEHI;Hidroeléctrica (Menor a 50 Mw);CENTRAL JULIAN ROMERO 5 SALTOS;HI<50;HIDRAULICA <=50;6.2;RIO NEGRO;General Roca;BARRIO PRESIDENTE PERON-CINCO SALTOS;Interconectado MEM;Si;SPT-PAH-16;;cammesa;"{""type"":""Point"",""coordinates"":[-68.0374881938993,-38.8366302268835]}";-680.374.881.938.993;-388.366.302.268.835
IMEXTRADE;;Térmica;;TG;;;RIO NEGRO;General Roca;BARRIO PRESIDENTE PERON-CINCO SALTOS;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.0389089267738,-38.8367764652441]}";-680.389.089.267.738;-388.367.764.652.441
CAPEX AUTOPROD.;CAPE;Térmica;CAPEX S.A. AUTOGENERADOR;CC;TURBO GAS - TURBO VAPOR;477.1;NEUQUEN;Confluencia;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.3554550506912,-38.9364799413244]}";-683.554.550.506.912;-389.364.799.413.244
ALTO VALLE;AVAL;Térmica;C.TERMICA ALTO VALLE;CC,TG;TURBO GAS - TURBO VAPOR;96;NEUQUEN;Confluencia;GRAN NEUQUÉN - CIPOLLETTI;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.0218158056774,-38.9521598854001]}";-680.218.158.056.774;-389.521.598.854.001
ARROYITO;ARROHI;Hidroeléctrica;HIDROELECTRICA EL CHOCON SA;HI>50;TURB HIDRAULICA;127.8;NEUQUEN;Confluencia;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.5854509082377,-39.1071215428176]}";-685.854.509.082.377;-391.071.215.428.176
PLAZA HUINCUL;PHUI;Térmica;YPF Autogenerador Pza. Huincul;TG;TURBO GAS;;NEUQUEN;Confluencia;PLAZA HUINCUL;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.1685341863137,-38.9303417908007]}";-691.685.341.863.137;-389.303.417.908.007
REALICO;REAL;Térmica;CT REALICO - SECCO;DI;MOTOR DIESEL;24;LA PAMPA;Realicó;REALICO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-64.2523947818108,-35.0551395123669]}";-642.523.947.818.108;-350.551.395.123.669
SALTO ANDERSEN;SANDHI;Hidroeléctrica (Menor a 50 Mw);CENTRAL SALTO ANDERSEN;HI<50;HIDRAULICA <=50;7.9;RIO NEGRO;Pichi Mahuida;;Interconectado MEM;Si;108-PAH-01;;cammesa;"{""type"":""Point"",""coordinates"":[-64.8172078759345,-38.8213979402473]}";-648.172.078.759.345;-388.213.979.402.473
CT NEUQUEN;LDLA;Térmica;CT LOMA DE LA LATA II(NEUQEUN) - C.T. LOMA DE LA LATA S.A.;CC,TG;TURBO GAS - TURBO VAPOR;765;NEUQUEN;Confluencia;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.6061703641719,-38.5126579765515]}";-686.061.703.641.719;-385.126.579.765.515
P. BANDERITA;PBANHI;Hidroeléctrica;HIDR. CERROS COLORADOS S.A.;HI>50;TURB HIDRAULICA;472;NEUQUEN;Confluencia;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.4744459885959,-38.5596066396262]}";-684.744.459.885.959;-385.596.066.396.262
CHOCON;CHOCHI;Hidroeléctrica;HIDROELECTRICA EL CHOCON SA;HI>50;TURB HIDRAULICA;1290;NEUQUEN;Confluencia;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.7560382965823,-39.2658472988655]}";-687.560.382.965.823;-392.658.472.988.655
CESPEDES;CESPHI;Hidroeléctrica (Menor a 50 Mw);CENTRAL HIDRAULICA CESPEDES;HI<50;HIDRAULICA <=50;5.2;RIO NEGRO;Avellaneda;;Interconectado MEM;Si;SPT-PAH-14;;cammesa;"{""type"":""Point"",""coordinates"":[-65.6819365912403,-39.5599523444747]}";-656.819.365.912.403;-395.599.523.444.747
PICHI P. LEUFU;PPLEHI;Hidroeléctrica;PICHI PICUN LEUFU;HI>50;TURB HIDRAULICA;285;RIO NEGRO;Pilcaniyeu;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.9849514137149,-40.0125087899113]}";-699.849.514.137.149;-400.125.087.899.113
PIEDRA D AGUILA;PAGUHI;Hidroeléctrica;HIDR. PIEDRA DEL AGUILA S.A.;HI>50;TURB HIDRAULICA;1440;NEUQUEN;Collón Curá;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.9917941724361,-40.1898380492485]}";-699.917.941.724.361;-401.898.380.492.485
CASA DE PIEDRA;CPIEHI;Hidroeléctrica;CENTRAL CASA DE PIEDRA;HI>50;TURB HIDRAULICA;60;RIO NEGRO;General Roca;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.1906816865445,-38.214329641649]}";-671.906.816.865.445;-38.214.329.641.649
RIO CHICO;RCHI;Térmica;CT RIO CHICO - SPSE;TG;TURBO GAS;50;SANTA CRUZ;Güer Aike;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.2164669279216,-51.6670881433661]}";-692.164.669.279.216;-516.670.881.433.661
RIO CHICO DI;;Térmica;;DI;;;SANTA CRUZ;Güer Aike;RIO GALLEGOS;Interconectada no MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.2317253021289,-51.6455464034665]}";-692.317.253.021.289;-516.455.464.034.665
RIO TURBIO;RTUR;Térmica;CT RIO TURBIO -Yac.Carbonifero;TV;TURBO VAPOR;;SANTA CRUZ;Güer Aike;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-72.2311428561876,-51.5461197641977]}";-722.311.428.561.876;-515.461.197.641.977
HUEMUL SINOPEC;HUEM;Térmica;COMP.GEN.COMB. S.A.U.-HUEMUL;DI;MOTOR DIESEL;;SANTA CRUZ;Deseado;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-68.3405849869631,-46.5643701069122]}";-683.405.849.869.631;-465.643.701.069.122
FUTALEUFU;FUTAHI;Hidroeléctrica;HIDROELECTRICA FUTALEUFU SA;HI>50;TURB HIDRAULICA;560;CHUBUT;Futaleufú;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-71.6299486892394,-43.1291857004125]}";-716.299.486.892.394;-431.291.857.004.125
YPF LOS PERALES;YPFA;Térmica;YPF LOS PERALES AUTOG;TG;TURBO GAS;;SANTA CRUZ;Deseado;;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-69.2653514280762,-46.1966608243625]}";-692.653.514.280.762;-461.966.608.243.625
PICO TRUNCADO 1;PTR1;Térmica;C.T. PATAGONICAS SA;TG;TURBO GAS;45;SANTA CRUZ;Deseado;PICO TRUNCADO;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-67.9503077915223,-46.7845030104672]}";-679.503.077.915.223;-467.845.030.104.672
ALUAR;ALUAR;Térmica;ALUAR SA - GENERADOR;CC,TG;TURBO GAS - TURBO VAPOR;189;CHUBUT;Biedma;PUERTO MADRYN;Interconectado MEM;;;;cammesa;"{""type"":""Point"",""coordinates"":[-65.0538971445491,-42.737850221234]}";-650.538.971.445.491;-42.737.850.221.234
EL TORDILLO;TORDEO;Eólica;CE EL TORDILLO-VIENTO PATAGON;EOL;EOLICA;3;CHUBUT;Escalante;;Interconectado MEM;;108-EOL-03;;cammesa;"{""type"":""Point"",""coordinates"":[-67.9080870625,-45.8535116432086]}";-679.080.870.625;-458.535.116.432.086
